Epoch,Training Accuracy,Validation Accuracy,Training Loss,Validation Loss
1,0.5791666507720947,0.800000011920929,0.948562502861023,0.5200874209403992
2,0.7749999761581421,0.9166666865348816,0.5174986124038696,0.3173331618309021
3,0.8541666865348816,0.9833333492279053,0.40333694219589233,0.1899193972349167
4,0.9166666865348816,0.949999988079071,0.22940421104431152,0.15189339220523834
5,0.9458333253860474,0.9833333492279053,0.1978684961795807,0.09575090557336807
6,0.9541666507720947,0.9833333492279053,0.1374967098236084,0.09531021863222122
7,0.9750000238418579,0.9833333492279053,0.1183040663599968,0.07177379727363586
8,0.9791666865348816,1.0,0.10039146989583969,0.06137429177761078
9,0.9833333492279053,0.9833333492279053,0.07834502309560776,0.067508265376091
10,0.9833333492279053,1.0,0.07158342003822327,0.04750332981348038
